YEAR,Number of Cyclones,month
1997,1,Oct-Dec
1998,4,Oct-Dec
1999,2,Oct-Dec
2000,3,Oct-Dec
2001,2,Oct-Dec
2002,2,Oct-Dec
2003,2,Oct-Dec
2004,2,Oct-Dec
2005,2,Oct-Dec
2006,1,Oct-Dec
2007,1,Oct-Dec
2008,3,Oct-Dec
2009,2,Oct-Dec
2010,2,Oct-Dec
2011,2,Oct-Dec
2012,2,Oct-Dec
